X;Y;street;category
11.3286730;50.9850982;Friedensstraße;unfall
11.3293527;50.9821876;Graben;unfall
11.3024120;50.9876746;Soproner Straße;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3267527;50.9766071;Humboldtstraße;unfall
11.2711980;50.9548996;Bahnhof;körperverletzung
11.3058685;50.9856682;Bahnhof;körperverletzung
11.3442420;50.9717588;Bodelschwinghstraße;einbruch
11.3294361;50.9750165;Marienstraße;unfall
11.3267527;50.9766071;Humboldtstraße;diebstahl
11.3159755;50.9941755;Marcel-Paul-Straße;unfall
11.3267527;50.9766071;Humboldtstraße;vandalismus
11.3210123;50.9786948;Steubenstraße;einbruch
11.3264535;50.9789080;Hummelstraße;drogenmissbrauch
11.3294361;50.9750165;Marienstraße;unfall
11.3295374;50.9766271;Marienstraße;unfall
11.3170011;50.9775488;Trierer Straße;drogenmissbrauch
11.3058685;50.9856682;Trierer Straße;drogenmissbrauch
11.3143136;50.9840682;Schwanseestraße;diebstahl
11.2711980;50.9548996;Bahnhof;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;unfall
